,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,longtemps,long time
23,23,heures,hours
24,24,vont,will
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,28,place,square
29,29,parle,speak
30,30,compris,understood
31,31,savais,knew
32,32,étaient,were
33,33,attention,Warning
34,34,voici,here is
35,35,pourrais,could
36,36,affaire,case
37,37,donner,give
38,38,type,type
39,39,leurs,their
40,40,donné,given
41,41,train,train
42,42,corps,body
43,43,endroit,place
44,44,yeux,eyes
45,45,façon,way
46,46,écoute,listen
47,47,dont,whose
48,48,trouve,find
49,50,perdu,lost
50,51,première,first
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
55,56,tiens,here
56,57,matin,morning
57,58,tellement,so much
58,59,enfant,child
59,60,point,point
60,61,venu,came
61,62,suite,after
62,63,pardon,sorry
63,64,venez,come
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,68,demandé,request
68,69,chambre,bedroom
69,70,mis,placed
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,espère,hope
78,79,eau,water
79,80,attendez,Wait
80,81,parti,left
81,82,nouvelle,new
82,83,boulot,job
83,84,arrêter,Stop
84,85,dirait,would say
85,86,terre,Earth
86,87,donne,given
87,88,loin,far
88,89,fin,end
89,90,chérie,sweetheart
90,91,gros,large
91,92,plutôt,rather
92,93,aura,will have
93,94,filles,girls
94,95,jouer,to play
95,96,bureau,office
